id,parentProductId,title,categories,description,quantity,price,active
2133-variation-2,2133,Weingartia cintiensis,,<p>Weingartia cintiensis</p>,500 seeds,15,instock
2133-variation-3,2133,Weingartia cintiensis,,<p>Weingartia cintiensis</p>,"1,000 seeds",25.00,instock
2134,,Weingartia erinacea,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weingartia,CACTI SEED INDEX",<p>Weingartia erinacea</p>,,,outofstock
2134-variation-0,2134,Weingartia erinacea,,<p>Weingartia erinacea</p>,500 seeds,15.00,outofstock
2134-variation-1,2134,Weingartia erinacea,,<p>Weingartia erinacea</p>,"1,000 seeds",25.00,outofstock
2135,,Weingartia hajekajana,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weingartia,CACTI SEED INDEX",<p>Weingartia hajekajana. This item ships in 8 to 12 days.</p>,,,outofstock
2135-variation-0,2135,Weingartia hajekajana,,<p>Weingartia hajekajana. This item ships in 8 to 12 days.</p>,100 seeds,5.00,outofstock
2135-variation-1,2135,Weingartia hajekajana,,<p>Weingartia hajekajana. This item ships in 8 to 12 days.</p>,500 seeds,15.00,outofstock
2135-variation-2,2135,Weingartia hajekajana,,<p>Weingartia hajekajana. This item ships in 8 to 12 days.</p>,"1,000 seeds",25.00,outofstock
2136,,Weingartia neocumingii,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weingartia,CACTI SEED INDEX",<p>Weingartia neocumingii</p>,,,instock
2136-variation-0,2136,Weingartia neocumingii,,<p>Weingartia neocumingii</p>,25 seeds,1.75,instock
2137,,Weingartia riograndensis,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weingartia,CACTI SEED INDEX",<p>Weingartia riograndensis.</p>,,,instock
2137-variation-0,2137,Weingartia riograndensis,,<p>Weingartia riograndensis.</p>,25 seeds,1.5,instock
2137-variation-1,2137,Weingartia riograndensis,,<p>Weingartia riograndensis.</p>,100 seeds,3.5,instock
2137-variation-2,2137,Weingartia riograndensis,,<p>Weingartia riograndensis.</p>,500 seeds,15.00,instock
2137-variation-3,2137,Weingartia riograndensis,,<p>Weingartia riograndensis.</p>,"1,000 seeds",25.00,instock
2138,,Weingartia saipieana,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weingartia,CACTI SEED INDEX",<p>Weingartia saipieana.</p>,,,instock
2138-variation-0,2138,Weingartia saipieana,,<p>Weingartia saipieana.</p>,25 seeds,1.50,instock
2138-variation-1,2138,Weingartia saipieana,,<p>Weingartia saipieana.</p>,100 seeds,4,instock
2138-variation-2,2138,Weingartia saipieana,,<p>Weingartia saipieana.</p>,500 seeds,17.50,instock
2138-variation-3,2138,Weingartia saipieana,,<p>Weingartia saipieana.</p>,"1,000 seeds",27.5,instock
2138-variation-4,2138,Weingartia saipieana,,<p>Weingartia saipieana.</p>,"5,000 seeds",75.00,instock
2139,,Espostoa guentheri,"SEEDS  Cacti E,Cacti Seed List (A to Z),Espostoa,CACTI SEED INDEX",<p>Espostoa guentheri (syn. of Vatricania guentheri)</p>,,,instock
2139-variation-0,2139,Espostoa guentheri,,<p>Espostoa guentheri (syn. of Vatricania guentheri)</p>,25 seeds,1.50,instock
2139-variation-1,2139,Espostoa guentheri,,<p>Espostoa guentheri (syn. of Vatricania guentheri)</p>,100 seeds,3.50,instock
2139-variation-2,2139,Espostoa guentheri,,<p>Espostoa guentheri (syn. of Vatricania guentheri)</p>,500 seeds,13.50,instock
2139-variation-3,2139,Espostoa guentheri,,<p>Espostoa guentheri (syn. of Vatricania guentheri)</p>,"1,000 seeds",24.00,instock
2139-variation-4,2139,Espostoa guentheri,,<p>Espostoa guentheri (syn. of Vatricania guentheri)</p>,"5,000 seeds",80.00,instock
3538,,Weberbauerocereus longicomus,"SEEDS  Cacti U to Z,Weberbauerocereus,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Weberbauerocereus longicomus</p>,,,instock
3538-variation-0,3538,Weberbauerocereus longicomus,,<p>Weberbauerocereus longicomus</p>,25 seeds,1.50,instock
3538-variation-1,3538,Weberbauerocereus longicomus,,<p>Weberbauerocereus longicomus</p>,100 seeds,3.50,instock
3538-variation-2,3538,Weberbauerocereus longicomus,,<p>Weberbauerocereus longicomus</p>,500 seeds,13.50,instock
3538-variation-3,3538,Weberbauerocereus longicomus,,<p>Weberbauerocereus longicomus</p>,"1,000 seeds",24.00,instock
2140,,Tephrocactus alexanderi,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus alexanderi</p>,,,outofstock
2140-variation-0,2140,Tephrocactus alexanderi,,<p>Tephrocactus alexanderi</p>,25 seeds,3.00,outofstock
2141,,Tephrocactus aoracanthus,"SEEDS Cacti T,Cacti Seed List (A to Z),Tephrocactus,CACTI SEED INDEX",<p>Tephrocactus aoracanthus (This item ships in 2 weeks).</p>,,,outofstock
2141-variation-0,2141,Tephrocactus aoracanthus,,<p>Tephrocactus aoracanthus (This item ships in 2 weeks).</p>,100 seeds,5,outofstock
2141-variation-1,2141,Tephrocactus aoracanthus,,<p>Tephrocactus aoracanthus (This item ships in 2 weeks).</p>,500 seeds,15.00,outofstock
2141-variation-2,2141,Tephrocactus aoracanthus,,<p>Tephrocactus aoracanthus (This item ships in 2 weeks).</p>,"1,000 seeds",25.00,outofstock
