id,parentProductId,title,categories,description,quantity,price,active,status
1,1,Agave americana (Century plant),"Agave species,ALL CACTI / SUCCULENTS,ALL SUCCULENTS,ALL PLANTS INDEX","<p>Agave americana (Blue Century plant). Sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Each rosette in the clump grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",,,outofstock,private
1-variation-0,1,Agave americana (Century plant),,"<p>Agave americana (Blue Century plant). Sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Each rosette in the clump grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",8-9 inch plant,40.00,outofstock,private
2,2,"Agave 'Mediopicta alba'","Agave species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Agave 'Mediopicta alba' (Agave americana ssp) sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 18&deg;F. Rosettes grows to 2' tall - 4' wide. Compact agave. Infrequent water. Native Mexico.</p>",,,outofstock,private
2-variation-0,2,"Agave 'Mediopicta alba'",,"<p>Agave 'Mediopicta alba' (Agave americana ssp) sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 18&deg;F. Rosettes grows to 2' tall - 4' wide. Compact agave. Infrequent water. Native Mexico.</p>",10-12 inch plant,50.00,outofstock,private
3,3,Agave americana variegata,"Agave species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Agave americana varigata. Sunset: 10-30; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",,,instock,publish
3-variation-0,3,Agave americana variegata,,"<p>Agave americana varigata. Sunset: 10-30; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",10-12 inch plant,50.00,instock,publish
4,4,"Agave angustifolia 'Marginata'","Agave species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Agave angustifolia 'Marginata' (Ribbon agave). Sunset: 12-24; USDA: 9b-10. Full sun to light shade, heat tolerant. Hardy to 25&deg;F. Grows to 3' tall - 3' wide. Infrequent water. Native to Mexico.</p>",,,outofstock,private
4-variation-0,4,"Agave angustifolia 'Marginata'",,"<p>Agave angustifolia 'Marginata' (Ribbon agave). Sunset: 12-24; USDA: 9b-10. Full sun to light shade, heat tolerant. Hardy to 25&deg;F. Grows to 3' tall - 3' wide. Infrequent water. Native to Mexico.</p>",6-8 inch plant,"15.00
",outofstock,private
5,5,Cylindropuntia acanthocarpa (Buckhorn cholla),"Chollas species,ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Cylindropuntia acanthocarpa (Buckhorn cholla) USDA: 9-11. Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Grows to 10' tall; 10' wide. Native to southern Utah, S.E. California, Arizona</p>",,,outofstock,private
5-variation-0,5,Cylindropuntia acanthocarpa (Buckhorn cholla),,"<p>Cylindropuntia acanthocarpa (Buckhorn cholla) USDA: 9-11. Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Grows to 10' tall; 10' wide. Native to southern Utah, S.E. California, Arizona</p>",10 inch rooted plant (1 gal.),15.00,outofstock,private
5-variation-1,5,Cylindropuntia acanthocarpa (Buckhorn cholla),,"<p>Cylindropuntia acanthocarpa (Buckhorn cholla) USDA: 9-11. Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Grows to 10' tall; 10' wide. Native to southern Utah, S.E. California, Arizona</p>",(3) 5-8 inch cuttings,15.00,outofstock,private
5-variation-2,5,Cylindropuntia acanthocarpa (Buckhorn cholla),,"<p>Cylindropuntia acanthocarpa (Buckhorn cholla) USDA: 9-11. Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Grows to 10' tall; 10' wide. Native to southern Utah, S.E. California, Arizona</p>",(10) 5-8 inch cuttings,35.00,outofstock,private
6,6,Cylindropuntia acanthocarpa v. thornberi,"Chollas species,ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Cylindropuntia acanthocarpa var. thornberi (USDA: 9-11). Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Shrubby cholla grows to 10' tall; 7' wide. Native to southern Utah, S.E. CA, AZ</p>",,,outofstock,private
6-variation-0,6,Cylindropuntia acanthocarpa v. thornberi,,"<p>Cylindropuntia acanthocarpa var. thornberi (USDA: 9-11). Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Shrubby cholla grows to 10' tall; 7' wide. Native to southern Utah, S.E. CA, AZ</p>",(3) 5 to 8 inch cuttings,12.00,outofstock,private
6-variation-1,6,Cylindropuntia acanthocarpa v. thornberi,,"<p>Cylindropuntia acanthocarpa var. thornberi (USDA: 9-11). Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Shrubby cholla grows to 10' tall; 7' wide. Native to southern Utah, S.E. CA, AZ</p>",(6) 5 to 8 inch cuttings,18.00,outofstock,private
7,7,Cylindropuntia bigelovii (Teddy bear cholla),"ALL CACTI,Chollas species,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Cylindropuntia bigelovii (Teddy bear cholla). Sunset: 10-13. Full sun. Heat tolerant. Little or no water. Hardy to 5&deg;F. Grows to 6' tall; 3' wide. Origin: Arizona, California and Mexico.</p>",,,instock,publish
7-variation-0,7,Cylindropuntia bigelovii (Teddy bear cholla),,"<p>Cylindropuntia bigelovii (Teddy bear cholla). Sunset: 10-13. Full sun. Heat tolerant. Little or no water. Hardy to 5&deg;F. Grows to 6' tall; 3' wide. Origin: Arizona, California and Mexico.</p>",(3) 3 to 5 inch cuttings,17.50,instock,publish
9,9,Opuntia engelmannii var. aciculata (Chenille),"ALL CACTI,Opuntia species,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Opuntia engelmannii var. aciculata (Chenille); Sunset: 8-24; USDA: 8-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 3' tall. Origin: Southwestern USA, NW Mexico.</p>",,,instock,publish
9-variation-0,9,Opuntia engelmannii var. aciculata (Chenille),,"<p>Opuntia engelmannii var. aciculata (Chenille); Sunset: 8-24; USDA: 8-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 3' tall. Origin: Southwestern USA, NW Mexico.</p>",(1) 6-8 inch cutting,12,instock,publish
10,10,Opuntia engelmannii (Engelman prickly pear),"ALL CACTI,Opuntia species,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Opuntia engelmannii (Engelman prickly pear) Sunset: 8,9, 12-24; USDA: 9-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 8' tall. Origin: Arizona, California</p>",,,instock,publish
10-variation-0,10,Opuntia engelmannii (Engelman prickly pear),,"<p>Opuntia engelmannii (Engelman prickly pear) Sunset: 8,9, 12-24; USDA: 9-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 8' tall. Origin: Arizona, California</p>",1 cutting (4-6 inch),10.00,instock,publish
11,11,"Opuntia engelmannii var. linguiformis (Cow's tongue)","ALL CACTI,Opuntia species,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Opuntia engelmannii var. linguiformis (Cow's tongue) Sunset: 8-24; USDA: 8-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 5' tall. Origin: Southwestern USA, northwestern Mexico.</p>",,,outofstock,private
11-variation-0,11,"Opuntia engelmannii var. linguiformis (Cow's tongue)",,"<p>Opuntia engelmannii var. linguiformis (Cow's tongue) Sunset: 8-24; USDA: 8-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 5' tall. Origin: Southwestern USA, northwestern Mexico.</p>",(1) 8-14 inch cutting,15.00,outofstock,private
11-variation-1,11,"Opuntia engelmannii var. linguiformis (Cow's tongue)",,"<p>Opuntia engelmannii var. linguiformis (Cow's tongue) Sunset: 8-24; USDA: 8-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 5' tall. Origin: Southwestern USA, northwestern Mexico.</p>",(5) 8-14 inch cuttings,35.00,outofstock,private
11-variation-2,11,"Opuntia engelmannii var. linguiformis (Cow's tongue)",,"<p>Opuntia engelmannii var. linguiformis (Cow's tongue) Sunset: 8-24; USDA: 8-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 5' tall. Origin: Southwestern USA, northwestern Mexico.</p>",(10) 8-14 inch cuttings,50.00,outofstock,private
12,12,Aloe brevifolia (Blue aloe),"Aloe species,ALL SUCCULENTS,ALL PLANTS INDEX",<p>Aloe brevifolia (Blue aloe)</p>,,,outofstock,private
12-variation-0,12,Aloe brevifolia (Blue aloe),,<p>Aloe brevifolia (Blue aloe)</p>,6 inch plant,25.00,outofstock,private
13,13,Aloe camperi,"Aloe species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Aloe camperi (USDA: 9b-10). Best in filtered sun. Heat tolerant. Hardy to 28&deg;F. Little water. Clumping aloe colony grows to 3' tall; 6' diameter. Native to Africa.</p>",,,outofstock,private
13-variation-0,13,Aloe camperi,,"<p>Aloe camperi (USDA: 9b-10). Best in filtered sun. Heat tolerant. Hardy to 28&deg;F. Little water. Clumping aloe colony grows to 3' tall; 6' diameter. Native to Africa.</p>",(1) 6-10 inch plant,10.00,outofstock,private
13-variation-1,13,Aloe camperi,,"<p>Aloe camperi (USDA: 9b-10). Best in filtered sun. Heat tolerant. Hardy to 28&deg;F. Little water. Clumping aloe colony grows to 3' tall; 6' diameter. Native to Africa.</p>",(5) 6-10 inch plants,25.00,outofstock,private
13-variation-2,13,Aloe camperi,,"<p>Aloe camperi (USDA: 9b-10). Best in filtered sun. Heat tolerant. Hardy to 28&deg;F. Little water. Clumping aloe colony grows to 3' tall; 6' diameter. Native to Africa.</p>",(10) 6-10 inch plants,35.00,outofstock,private
14,14,Aloe crosby prolific,"Aloe species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Aloe crosby prolific. (USDA: 9b-10). Filtered sun. Heat tolerant. Hardy to 30&deg;F. Little water. Grows to 8"" tall; 1' wide. Native to Africa.</p>",,,outofstock,private
14-variation-0,14,Aloe crosby prolific,,"<p>Aloe crosby prolific. (USDA: 9b-10). Filtered sun. Heat tolerant. Hardy to 30&deg;F. Little water. Grows to 8"" tall; 1' wide. Native to Africa.</p>",5-8 inch plant,10.00,outofstock,private
14-variation-1,14,Aloe crosby prolific,,"<p>Aloe crosby prolific. (USDA: 9b-10). Filtered sun. Heat tolerant. Hardy to 30&deg;F. Little water. Grows to 8"" tall; 1' wide. Native to Africa.</p>",(3) 5-8 inch plants,20.00,outofstock,private
15,15,Aloe cryptopoda (Aloe wickensii),"Aloe species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Aloe cryptopoda (USDA: 9b-11). Light shade to full sun. Heat tolerant. Hardy to 24&deg;F. Little water. Generally solitary stemless rosette. Grows to 3' tall; 2' wide. Native to Africa.</p>",,,outofstock,private
15-variation-0,15,Aloe cryptopoda (Aloe wickensii),,"<p>Aloe cryptopoda (USDA: 9b-11). Light shade to full sun. Heat tolerant. Hardy to 24&deg;F. Little water. Generally solitary stemless rosette. Grows to 3' tall; 2' wide. Native to Africa.</p>",6-8 inch plant,25.00,outofstock,private
15-variation-1,15,Aloe cryptopoda (Aloe wickensii),,"<p>Aloe cryptopoda (USDA: 9b-11). Light shade to full sun. Heat tolerant. Hardy to 24&deg;F. Little water. Generally solitary stemless rosette. Grows to 3' tall; 2' wide. Native to Africa.</p>",12-14 inch plant,40.00,outofstock,private
16,16,Aloe dichotoma,"Aloe species,ALL PLANTS INDEX",Aloe dichotoma,,,outofstock,private
17,17,Aloe ferox ssp. thompsonia,"Aloe species,ALL SUCCULENTS,ALL PLANTS INDEX","<p>Aloe ferox ssp. thompsonia (USDA: 9b-11). Light shade. Heat tolerant. Hardy to 24&deg;F. Solitary succulent. Grows slowly to 10' tall; 5' in diameter. Little water. Native to South Africa.</p>",,,outofstock,private
17-variation-0,17,Aloe ferox ssp. thompsonia,,"<p>Aloe ferox ssp. thompsonia (USDA: 9b-11). Light shade. Heat tolerant. Hardy to 24&deg;F. Solitary succulent. Grows slowly to 10' tall; 5' in diameter. Little water. Native to South Africa.</p>",2 gal. bare root,25.00,outofstock,private
17-variation-1,17,Aloe ferox ssp. thompsonia,,"<p>Aloe ferox ssp. thompsonia (USDA: 9b-11). Light shade. Heat tolerant. Hardy to 24&deg;F. Solitary succulent. Grows slowly to 10' tall; 5' in diameter. Little water. Native to South Africa.</p>",5 gal. bare root,50.00,outofstock,private
18,18,Aloe nobilis (Gold tooth aloe),"Aloe species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Aloe nobilis (Gold tooth aloe) Sunset: 8,9,12-24; USDA: 9-11. Light shade. Heat tolerant. Hardy to 24&deg;F. Little water. Clustering rosettes, grows to 1' tall; 1' wide. Origin: Africa.</p>",,,outofstock,private
18-variation-0,18,Aloe nobilis (Gold tooth aloe),,"<p>Aloe nobilis (Gold tooth aloe) Sunset: 8,9,12-24; USDA: 9-11. Light shade. Heat tolerant. Hardy to 24&deg;F. Little water. Clustering rosettes, grows to 1' tall; 1' wide. Origin: Africa.</p>",(1) 5-8 plant,10.00,outofstock,private
18-variation-1,18,Aloe nobilis (Gold tooth aloe),,"<p>Aloe nobilis (Gold tooth aloe) Sunset: 8,9,12-24; USDA: 9-11. Light shade. Heat tolerant. Hardy to 24&deg;F. Little water. Clustering rosettes, grows to 1' tall; 1' wide. Origin: Africa.</p>",(3) 5-8 plants,15.00,outofstock,private
18-variation-2,18,Aloe nobilis (Gold tooth aloe),,"<p>Aloe nobilis (Gold tooth aloe) Sunset: 8,9,12-24; USDA: 9-11. Light shade. Heat tolerant. Hardy to 24&deg;F. Little water. Clustering rosettes, grows to 1' tall; 1' wide. Origin: Africa.</p>",(10) 5-8 plants,35.00,outofstock,private
19,19,Ferocactus acanthodes,"Barrel type (Globular),ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Ferocactus acanthodes. Sunset: 8-24; USDA: 9-10. Full sun. Heat tolerant. Little or no water. Hardy to 20&deg;F. Solitary barrel grows to 6' tall; 16' diameter. Native to Arizona, California, northern Mexico.</p>",,,outofstock,private
19-variation-0,19,Ferocactus acanthodes,,"<p>Ferocactus acanthodes. Sunset: 8-24; USDA: 9-10. Full sun. Heat tolerant. Little or no water. Hardy to 20&deg;F. Solitary barrel grows to 6' tall; 16' diameter. Native to Arizona, California, northern Mexico.</p>",3-4 inch rooted plant,16.00,outofstock,private
20,20,Ferocactus covillei,"Barrel type (Globular),ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Ferocactus covillei. Sunset: 8-24; USDA: 9-10. Full sun. Heat tolerant. Little or no water. Hardy to 25&deg;F. Solitary barrel grows to 3 tall; 3' diameter. Native to Mexico.</p>",,,outofstock,private
20-variation-0,20,Ferocactus covillei,,"<p>Ferocactus covillei. Sunset: 8-24; USDA: 9-10. Full sun. Heat tolerant. Little or no water. Hardy to 25&deg;F. Solitary barrel grows to 3 tall; 3' diameter. Native to Mexico.</p>",5 inch rooted plant,30.00,outofstock,private
21,21,Ferocactus glaucescens,"Barrel type (Globular),ALL CACTI,ALL CACTI / SUCCULENTS,Ferocactus species,ALL PLANTS INDEX","<p>Ferocactus glaucescens (Blue barrel). USDA: 9b-11. Full sun to light shade. Heat tolerant. Little or no water. Hardy to 28&deg;F. Solitary barrel grows to 2.5' tall; 18"" diameter. Origin: Eastern central Mexico.</p>",,,outofstock,private
21-variation-0,21,Ferocactus glaucescens,,"<p>Ferocactus glaucescens (Blue barrel). USDA: 9b-11. Full sun to light shade. Heat tolerant. Little or no water. Hardy to 28&deg;F. Solitary barrel grows to 2.5' tall; 18"" diameter. Origin: Eastern central Mexico.</p>",3-4 inch plant,15,outofstock,private
22,22,Ferocactus gracilis,"Barrel type (Globular),ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX",<p>Ferocactus gracilis</p>,,,outofstock,private
22-variation-0,22,Ferocactus gracilis,,<p>Ferocactus gracilis</p>,6” plant,30.00,outofstock,private
3389,3389,Ferocactus schwarzii,"Large Lot Sale,CACTI SEED INDEX",<p>Ferocactus schwarzii</p>,,,outofstock,private
3389-variation-0,3389,Ferocactus schwarzii,,<p>Ferocactus schwarzii</p>,5000 seeds,35,outofstock,private
23,23,Ferocactus hamatacanthus ssp. sinuatus,"Barrel type (Globular),ALL CACTI,ALL CACTI / SUCCULENTS,Ferocactus species,ALL PLANTS INDEX","<p>Ferocactus hamatacanthus ssp. sinuatus (aka. Echinocactus hamatacanthus ssp. sinuatus). USDA: 8b-11. Full sun. Heat tolerant. Little or no water. Hardy to 16&deg;F. Grows to 2' cluster. Native Texas, Mexico</p>",,,instock,publish
23-variation-0,23,Ferocactus hamatacanthus ssp. sinuatus,,"<p>Ferocactus hamatacanthus ssp. sinuatus (aka. Echinocactus hamatacanthus ssp. sinuatus). USDA: 8b-11. Full sun. Heat tolerant. Little or no water. Hardy to 16&deg;F. Grows to 2' cluster. Native Texas, Mexico</p>",5-6  inch plant,70.00,instock,publish
24,24,"Euphorbia antisyphilitica (Candelilla, Wax plant)","Euphorbia species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Euphorbia antisyphilitica (Candelilla, Wax plant). Full sun. Hardy to 25&deg;F. Evergreen shrub to 3' tall, mostly leafless stems. Little water. Native to Chihuahuan desert, west Texas, Mexico.</p>",,,outofstock,private
24-variation-0,24,"Euphorbia antisyphilitica (Candelilla, Wax plant)",,"<p>Euphorbia antisyphilitica (Candelilla, Wax plant). Full sun. Hardy to 25&deg;F. Evergreen shrub to 3' tall, mostly leafless stems. Little water. Native to Chihuahuan desert, west Texas, Mexico.</p>",12 inch rooted plant 20 + stems,35.00,outofstock,private
25,25,Euphorbia cactiformis,"Euphorbia species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Euphorbia cactiformis. Full sun to light shade. Hardy to 25&deg;F. Evergreen shrub to 6' tall; 6' wide. Little water. Native to Africa</p>",,,outofstock,private
25-variation-0,25,Euphorbia cactiformis,,"<p>Euphorbia cactiformis. Full sun to light shade. Hardy to 25&deg;F. Evergreen shrub to 6' tall; 6' wide. Little water. Native to Africa</p>",(5) 8-12 inch unrooted cuttings,20.00,outofstock,private
26,26,Euphorbia resinifera,"Euphorbia species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Euphorbia resinifera (Moroccan mound); USDA: 9-11. Full sun to light shade. Hardy to 22&deg;F. Spiny shrub to 4' tall; 6' wide. Moderate water summer. Native to Morocco.</p>",,,outofstock,private
26-variation-0,26,Euphorbia resinifera,,"<p>Euphorbia resinifera (Moroccan mound); USDA: 9-11. Full sun to light shade. Hardy to 22&deg;F. Spiny shrub to 4' tall; 6' wide. Moderate water summer. Native to Morocco.</p>",8 inch multi-stemmed plant,35.00,outofstock,private
27,27,Euphorbia tirucalli (Pencil bush),"Euphorbia species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Euphorbia tirucalli (Pencil bush). Sunset: 13, 23, 24, USDA: 10-12 Full sun to light shade. Hardy to 28&deg;F. Succulent bush to 20' tall; Moderate water summer for fast growth. Milky corrosive sap. Origin: Africa.</p>",,,instock,publish
27-variation-0,27,Euphorbia tirucalli (Pencil bush),,"<p>Euphorbia tirucalli (Pencil bush). Sunset: 13, 23, 24, USDA: 10-12 Full sun to light shade. Hardy to 28&deg;F. Succulent bush to 20' tall; Moderate water summer for fast growth. Milky corrosive sap. Origin: Africa.</p>",8-12 inch multi-stemed unrooted cutting,15.00,instock,publish
28,28,Euphorbia tirucalli red hybrid (Sticks of fire),"Euphorbia species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Euphorbia tirucalli red hybrid (Sticks of fire). Sunset: 13, 23, 24, USDA: 10-12 Full sun to light shade. Hardy to 28&deg;F. Succulent bush to 6' tall; Moderate water summer. Milky corrosive sap. Origin: Africa.</p>",,,outofstock,private
28-variation-0,28,Euphorbia tirucalli red hybrid (Sticks of fire),,"<p>Euphorbia tirucalli red hybrid (Sticks of fire). Sunset: 13, 23, 24, USDA: 10-12 Full sun to light shade. Hardy to 28&deg;F. Succulent bush to 6' tall; Moderate water summer. Milky corrosive sap. Origin: Africa.</p>",8-10 inch multi-stemed plant,15.00,outofstock,private
29,29,Echinocactus grusonii (Golden barrel cacti),"ALL CACTI / SUCCULENTS,ALL CACTI,Barrel type (Globular),Golden Barrel species,ALL PLANTS INDEX","<p>Echinocactus grusonii (Golden barrel cacti). Sunset: 11-24; USDA: 9-12. Full sun. Regular water summer. Hardy to 24&deg;F. Grows slowly 3' tall; 4' wide. Yellow flowers.&nbsp; Origin: Mexico</p>",,,instock,publish
29-variation-0,29,Echinocactus grusonii (Golden barrel cacti),,"<p>Echinocactus grusonii (Golden barrel cacti). Sunset: 11-24; USDA: 9-12. Full sun. Regular water summer. Hardy to 24&deg;F. Grows slowly 3' tall; 4' wide. Yellow flowers.&nbsp; Origin: Mexico</p>",4 inch bare root,16.00,instock,publish
29-variation-1,29,Echinocactus grusonii (Golden barrel cacti),,"<p>Echinocactus grusonii (Golden barrel cacti). Sunset: 11-24; USDA: 9-12. Full sun. Regular water summer. Hardy to 24&deg;F. Grows slowly 3' tall; 4' wide. Yellow flowers.&nbsp; Origin: Mexico</p>",6 inch bare root,40.00,instock,publish
30,30,Echinocereus coccineus (Mexican claret cup),"ALL CACTI,Echinocereus species,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Echinocereus coccineus (Mexican claret cup) 2,3,7,10-24; USDA: 7-11. Full sun. Heat tolerant. Little or no water. Clumping colony slowly grows to 5' diameter; 16"" tall. Origin: Southwestern USA, Mexico.</p>",,,instock,publish
30-variation-0,30,Echinocereus coccineus (Mexican claret cup),,"<p>Echinocereus coccineus (Mexican claret cup) 2,3,7,10-24; USDA: 7-11. Full sun. Heat tolerant. Little or no water. Clumping colony slowly grows to 5' diameter; 16"" tall. Origin: Southwestern USA, Mexico.</p>",5-6 inch rooted single stem,25.00,instock,publish
31,31,Echinocereus dasyacanthus (Texas rainbow hedgehog),"Echinocereus species,ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX",<p>Echinocereus dasyacanthus (Texas rainbow hedgehog)</p>,,,outofstock,private
31-variation-0,31,Echinocereus dasyacanthus (Texas rainbow hedgehog),,<p>Echinocereus dasyacanthus (Texas rainbow hedgehog)</p>,4-5 inch plant,10.00,outofstock,private
31-variation-1,31,Echinocereus dasyacanthus (Texas rainbow hedgehog),,<p>Echinocereus dasyacanthus (Texas rainbow hedgehog)</p>,6-7 inch plant,15.00,outofstock,private
31-variation-2,31,Echinocereus dasyacanthus (Texas rainbow hedgehog),,<p>Echinocereus dasyacanthus (Texas rainbow hedgehog)</p>,6 inch plant with 2 heads,20.00,outofstock,private
32,32,Echinocereus engelmannii,"ALL CACTI,Echinocereus species,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Echinocereus engelmannii (Sunset: 2,3,7,10-24; USDA: 7-11). Full sun. Heat tolerant. Little or no water. Clumping colony grows to 4' diameter; 1' tall. Origin: Southern California, Arizona, southern Nevada, Mexico. This clone from Southern AZ.</p>",,,outofstock,private
32-variation-0,32,Echinocereus engelmannii,,"<p>Echinocereus engelmannii (Sunset: 2,3,7,10-24; USDA: 7-11). Full sun. Heat tolerant. Little or no water. Clumping colony grows to 4' diameter; 1' tall. Origin: Southern California, Arizona, southern Nevada, Mexico. This clone from Southern AZ.</p>",8 inch plant,25.00,outofstock,private
32-variation-1,32,Echinocereus engelmannii,,"<p>Echinocereus engelmannii (Sunset: 2,3,7,10-24; USDA: 7-11). Full sun. Heat tolerant. Little or no water. Clumping colony grows to 4' diameter; 1' tall. Origin: Southern California, Arizona, southern Nevada, Mexico. This clone from Southern AZ.</p>",12 inch plant,40.00,outofstock,private
33,33,Echinocereus fendleri var. fasciculatus,"Echinocereus species,ALL CACTI,ALL PLANTS INDEX",<p>Echinocereus fendleri var. fasciculatus</p>,,,outofstock,private
33-variation-0,33,Echinocereus fendleri var. fasciculatus,,<p>Echinocereus fendleri var. fasciculatus</p>,2 gal. bare root ,,outofstock,private
33-variation-1,33,Echinocereus fendleri var. fasciculatus,,<p>Echinocereus fendleri var. fasciculatus</p>,5 gal. bare root,20.00,outofstock,private
34,34,"Echinocereus nicholii (Nichol's golden hedgehog)","Echinocereus species,ALL CACTI,ALL PLANTS INDEX","<p>Echinocereus nicholii (Nichol's golden hedgehog). Sunset: 10-24; USDA: 7-11; Full sun. Heat tolerant. Little or no water. Clumping colony grows to 2' tall; 3' diameter. Origin: Arizona, Mexico.</p>",,,outofstock,private
34-variation-0,34,"Echinocereus nicholii (Nichol's golden hedgehog)",,"<p>Echinocereus nicholii (Nichol's golden hedgehog). Sunset: 10-24; USDA: 7-11; Full sun. Heat tolerant. Little or no water. Clumping colony grows to 2' tall; 3' diameter. Origin: Arizona, Mexico.</p>",2 gal. bare root,30.00,outofstock,private
34-variation-1,34,"Echinocereus nicholii (Nichol's golden hedgehog)",,"<p>Echinocereus nicholii (Nichol's golden hedgehog). Sunset: 10-24; USDA: 7-11; Full sun. Heat tolerant. Little or no water. Clumping colony grows to 2' tall; 3' diameter. Origin: Arizona, Mexico.</p>",5 gal. bare root,45.00,outofstock,private
35,35,Echinocereus pentalophus (Lady finger cactus),"Echinocereus species,ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Echinocereus pentalophus (Lady finger cactus). Sunset: 12-13; USDA: 9b-10. Full sun to light shade. Heat tolerant. Little water. Clumping colony grows to 1' tall; 3' diameter. Origin: Texas, Mexico.</p>",,,instock,publish
35-variation-0,35,Echinocereus pentalophus (Lady finger cactus),,"<p>Echinocereus pentalophus (Lady finger cactus). Sunset: 12-13; USDA: 9b-10. Full sun to light shade. Heat tolerant. Little water. Clumping colony grows to 1' tall; 3' diameter. Origin: Texas, Mexico.</p>",(3) 4-6 inch unrooted cuttings,15.00,instock,publish
36,36,Echinocereus stramineus,"Echinocereus species,ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Echinocereus stramineus (Strawberry hedgehog). Sunset: 9b-13. Full sun. Heat tolerant. Little or no water. Clumping colony grows to 2' tall; 4' diameter. Origin: southwest Texas, New Mexico, Mexico. Plants collected in West Texas. 5"" to 6"" plants are approx. 7-10 years old.</p>",,,outofstock,private
36-variation-0,36,Echinocereus stramineus,,"<p>Echinocereus stramineus (Strawberry hedgehog). Sunset: 9b-13. Full sun. Heat tolerant. Little or no water. Clumping colony grows to 2' tall; 4' diameter. Origin: southwest Texas, New Mexico, Mexico. Plants collected in West Texas. 5"" to 6"" plants are approx. 7-10 years old.</p>",7-8 inch cluster,35,outofstock,private
