id,parentProductId,title,categories,description,quantity,price,active,status
5149-variation-0,5149,Seeds Lithops karasmontana mixed forms,,<p>Lithops karasmontana mixed forms</p>,25 seeds,1.75,instock,publish
5149-variation-1,5149,Seeds Lithops karasmontana mixed forms,,<p>Lithops karasmontana mixed forms</p>,100 seeds,5.00,instock,publish
5149-variation-2,5149,Seeds Lithops karasmontana mixed forms,,<p>Lithops karasmontana mixed forms</p>,500 seeds,17.50,instock,publish
5149-variation-3,5149,Seeds Lithops karasmontana mixed forms,,<p>Lithops karasmontana mixed forms</p>,1000 seeds,30.00,instock,publish
4405,4405,Eucalyptus Tree Seed Assortment,"Tree Seed Assortments,TREE & SHRUB SEED INDEX","<p>Eucalyptus Tree Seed Assortment:<br /><br />Start your own Eucalyptus forest  from seeds. Easy to germinate, rapidly growing trees with heat, sun and water.  Seeds are very small. More are in the packs than advertised.<br /><br />Recommended  Temperature Zones: Sunset: 5,6,8-24 USDA: 8b-11</p>
<p>10 packs of 100  seeds ea. individually packaged and labeled. (1000 seeds)</p>
<p>(Assortment can vary based on availability.)</p>
<p>Eucalyptus baueriana<br />Eucalyptus brevifolia<br />Eucalyptus  camaldulensis<br />Eucalyptus citriodora<br />Eucalyptus curtisii<br />Eucalyptus  gamophylla<br />Eucalyptus globulus<br />Eucalyptus macrocarpa<br />Eucalyptus  resinifera<br />Eucalyptus saligna <br /><br /></p>",,,instock,publish
4405-variation-0,4405,Eucalyptus Tree Seed Assortment,,"<p>Eucalyptus Tree Seed Assortment:<br /><br />Start your own Eucalyptus forest  from seeds. Easy to germinate, rapidly growing trees with heat, sun and water.  Seeds are very small. More are in the packs than advertised.<br /><br />Recommended  Temperature Zones: Sunset: 5,6,8-24 USDA: 8b-11</p>
<p>10 packs of 100  seeds ea. individually packaged and labeled. (1000 seeds)</p>
<p>(Assortment can vary based on availability.)</p>
<p>Eucalyptus baueriana<br />Eucalyptus brevifolia<br />Eucalyptus  camaldulensis<br />Eucalyptus citriodora<br />Eucalyptus curtisii<br />Eucalyptus  gamophylla<br />Eucalyptus globulus<br />Eucalyptus macrocarpa<br />Eucalyptus  resinifera<br />Eucalyptus saligna <br /><br /></p>",10 diff. packs of 100 seeds ea,28.00,instock,publish
4406,4406,"Lophocereus schottii 'mieckleyanus'","Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Lophocereus schottii 'mieckleyanus' (Thin senita form). Organ pipe  cactus. Sunset: 12-13,16,17,21-24; USDA: 9-11. Full sun. Heat tolerant.  Little water. Hardy to 18&deg;F. Each stem can grow to 20' tall, 4-6""  diameter. Origin: Arizona, northwestern Mexico.</p>",,,outofstock,private
4406-variation-0,4406,"Lophocereus schottii 'mieckleyanus'",,"<p>Lophocereus schottii 'mieckleyanus' (Thin senita form). Organ pipe  cactus. Sunset: 12-13,16,17,21-24; USDA: 9-11. Full sun. Heat tolerant.  Little water. Hardy to 18&deg;F. Each stem can grow to 20' tall, 4-6""  diameter. Origin: Arizona, northwestern Mexico.</p>",(10) 12-13 inch unrooted cuttings,80.00,outofstock,private
4406-variation-1,4406,"Lophocereus schottii 'mieckleyanus'",,"<p>Lophocereus schottii 'mieckleyanus' (Thin senita form). Organ pipe  cactus. Sunset: 12-13,16,17,21-24; USDA: 9-11. Full sun. Heat tolerant.  Little water. Hardy to 18&deg;F. Each stem can grow to 20' tall, 4-6""  diameter. Origin: Arizona, northwestern Mexico.</p>",(10) 22-24 inch unrooted cuttings,175.00,outofstock,private
4406-variation-2,4406,"Lophocereus schottii 'mieckleyanus'",,"<p>Lophocereus schottii 'mieckleyanus' (Thin senita form). Organ pipe  cactus. Sunset: 12-13,16,17,21-24; USDA: 9-11. Full sun. Heat tolerant.  Little water. Hardy to 18&deg;F. Each stem can grow to 20' tall, 4-6""  diameter. Origin: Arizona, northwestern Mexico.</p>",(10) 34-36 inch unrooted cuttings,300.00,outofstock,private
4406-variation-3,4406,"Lophocereus schottii 'mieckleyanus'",,"<p>Lophocereus schottii 'mieckleyanus' (Thin senita form). Organ pipe  cactus. Sunset: 12-13,16,17,21-24; USDA: 9-11. Full sun. Heat tolerant.  Little water. Hardy to 18&deg;F. Each stem can grow to 20' tall, 4-6""  diameter. Origin: Arizona, northwestern Mexico.</p>",(5) 44-48 inch unrooted cuttings,185.00,outofstock,private
4406-variation-4,4406,"Lophocereus schottii 'mieckleyanus'",,"<p>Lophocereus schottii 'mieckleyanus' (Thin senita form). Organ pipe  cactus. Sunset: 12-13,16,17,21-24; USDA: 9-11. Full sun. Heat tolerant.  Little water. Hardy to 18&deg;F. Each stem can grow to 20' tall, 4-6""  diameter. Origin: Arizona, northwestern Mexico.</p>",(5) 58-60 inch unrooted cuttings,225.00,outofstock,private
4407,4407,Lophocereus schottii (Senita),"Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Lophocereus schottii (Senita). Organ pipe cactus. Sunset: 12-13, 16, 17,  21-24; USDA: 9-11. Full sun. Heat tolerant. Little water. Hardy to  18&deg;F. Branching cactus, each stem can grow to 28' tall, 10"" diameter.  Small white flowers. Origin: AZ, northwest Mexico</p>",,,outofstock,private
4407-variation-0,4407,Lophocereus schottii (Senita),,"<p>Lophocereus schottii (Senita). Organ pipe cactus. Sunset: 12-13, 16, 17,  21-24; USDA: 9-11. Full sun. Heat tolerant. Little water. Hardy to  18&deg;F. Branching cactus, each stem can grow to 28' tall, 10"" diameter.  Small white flowers. Origin: AZ, northwest Mexico</p>",(10) 12-13 inch unrooted cuttings,120.00,outofstock,private
4407-variation-1,4407,Lophocereus schottii (Senita),,"<p>Lophocereus schottii (Senita). Organ pipe cactus. Sunset: 12-13, 16, 17,  21-24; USDA: 9-11. Full sun. Heat tolerant. Little water. Hardy to  18&deg;F. Branching cactus, each stem can grow to 28' tall, 10"" diameter.  Small white flowers. Origin: AZ, northwest Mexico</p>",(10) 22-24 inch unrooted cuttings,200.00,outofstock,private
4407-variation-2,4407,Lophocereus schottii (Senita),,"<p>Lophocereus schottii (Senita). Organ pipe cactus. Sunset: 12-13, 16, 17,  21-24; USDA: 9-11. Full sun. Heat tolerant. Little water. Hardy to  18&deg;F. Branching cactus, each stem can grow to 28' tall, 10"" diameter.  Small white flowers. Origin: AZ, northwest Mexico</p>",(10) 22-24 inch unrooted cuttings,250.00,outofstock,private
4407-variation-3,4407,Lophocereus schottii (Senita),,"<p>Lophocereus schottii (Senita). Organ pipe cactus. Sunset: 12-13, 16, 17,  21-24; USDA: 9-11. Full sun. Heat tolerant. Little water. Hardy to  18&deg;F. Branching cactus, each stem can grow to 28' tall, 10"" diameter.  Small white flowers. Origin: AZ, northwest Mexico</p>",(10) 34-36 inch unrooted cuttings,375.00,outofstock,private
4407-variation-4,4407,Lophocereus schottii (Senita),,"<p>Lophocereus schottii (Senita). Organ pipe cactus. Sunset: 12-13, 16, 17,  21-24; USDA: 9-11. Full sun. Heat tolerant. Little water. Hardy to  18&deg;F. Branching cactus, each stem can grow to 28' tall, 10"" diameter.  Small white flowers. Origin: AZ, northwest Mexico</p>",(5) 44-48 inch unrooted cuttings,225.00,outofstock,private
4407-variation-5,4407,Lophocereus schottii (Senita),,"<p>Lophocereus schottii (Senita). Organ pipe cactus. Sunset: 12-13, 16, 17,  21-24; USDA: 9-11. Full sun. Heat tolerant. Little water. Hardy to  18&deg;F. Branching cactus, each stem can grow to 28' tall, 10"" diameter.  Small white flowers. Origin: AZ, northwest Mexico</p>",(5) 58-60 inch unrooted cuttings,300.00,outofstock,private
4408,4408,Cylindropuntia arbuscula,"Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Cylindropuntia arbuscula (Bush pencil cholla) USDA: 9-11. Full sun. Heat  tolerant. Little or no water. Hardy to 15&deg;F. Grows to 8' tall; 8' wide.  Native to AZ and Mexico.</p>",,,outofstock,private
4408-variation-0,4408,Cylindropuntia arbuscula,,"<p>Cylindropuntia arbuscula (Bush pencil cholla) USDA: 9-11. Full sun. Heat  tolerant. Little or no water. Hardy to 15&deg;F. Grows to 8' tall; 8' wide.  Native to AZ and Mexico.</p>",(50) 5 to 8 inch cuttings,60.00,outofstock,private
4408-variation-1,4408,Cylindropuntia arbuscula,,"<p>Cylindropuntia arbuscula (Bush pencil cholla) USDA: 9-11. Full sun. Heat  tolerant. Little or no water. Hardy to 15&deg;F. Grows to 8' tall; 8' wide.  Native to AZ and Mexico.</p>",(100) 5 to 8 inch cuttings,100.00,outofstock,private
4409,4409,Cylindropuntia fulgida,"Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Cylindropuntia fulgida (Jumping cholla). Sunset: 10-13. Full sun. Heat  tolerant. Little or no water. Hardy to 5&deg;F. Grows to 12' tall; 8' wide.  Origin: AZ, CA and Mexico.</p>",,,outofstock,private
4409-variation-0,4409,Cylindropuntia fulgida,,"<p>Cylindropuntia fulgida (Jumping cholla). Sunset: 10-13. Full sun. Heat  tolerant. Little or no water. Hardy to 5&deg;F. Grows to 12' tall; 8' wide.  Origin: AZ, CA and Mexico.</p>",(100) 3-6 inch cuttings,75.00,outofstock,private
4410,4410,Cylindropuntia fulgida var. mamillata,"Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Cylindropuntia fulgida var. mamillata (Chain fruit cholla). Sunset:  10-13. Full sun. Heat tolerant. Little or no water. Hardy to 5&deg;F. Grows  to 12' tall; 8' wide. Native to Arizona, CA and Mexico.</p>",,,outofstock,private
4410-variation-0,4410,Cylindropuntia fulgida var. mamillata,,"<p>Cylindropuntia fulgida var. mamillata (Chain fruit cholla). Sunset:  10-13. Full sun. Heat tolerant. Little or no water. Hardy to 5&deg;F. Grows  to 12' tall; 8' wide. Native to Arizona, CA and Mexico.</p>",(50) 3-6 inch cuttings,65.00,outofstock,private
4410-variation-1,4410,Cylindropuntia fulgida var. mamillata,,"<p>Cylindropuntia fulgida var. mamillata (Chain fruit cholla). Sunset:  10-13. Full sun. Heat tolerant. Little or no water. Hardy to 5&deg;F. Grows  to 12' tall; 8' wide. Native to Arizona, CA and Mexico.</p>",(100) 3-6 inch cuttings,100.00,outofstock,private
4411,4411,Myrtillocactus geometrizans,"Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Myrtillocactus geometrizans (Blue candle). USDA: 9b-11. Full sun. Heat  tolerant. Moderate water. Hardy to 26&deg;F. Grows to 12' tall; 8' diameter.  Origin: Northern central Mexico.</p>",,,outofstock,private
4411-variation-0,4411,Myrtillocactus geometrizans,,"<p>Myrtillocactus geometrizans (Blue candle). USDA: 9b-11. Full sun. Heat  tolerant. Moderate water. Hardy to 26&deg;F. Grows to 12' tall; 8' diameter.  Origin: Northern central Mexico.</p>",(50) unrooted cuttings (8 inch +),200.00,outofstock,private
4413,4413,Opuntia basilaris,"Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Opuntia basilaris (Beavertail cactus) Sunset: 12-24; USDA: 9b-12. Full  sun. Heat tolerant. Little water. Hardy to 0&deg;F. Slow growing to 2' tall;  4' wide. Origin: Arizona, California, Nevada, northwestern Mexico.</p>",,,outofstock,private
4413-variation-0,4413,Opuntia basilaris,,"<p>Opuntia basilaris (Beavertail cactus) Sunset: 12-24; USDA: 9b-12. Full  sun. Heat tolerant. Little water. Hardy to 0&deg;F. Slow growing to 2' tall;  4' wide. Origin: Arizona, California, Nevada, northwestern Mexico.</p>",(10) 6-7 inch cuttings,50.00,outofstock,private
4414,4414,Opuntia engelmannii,"Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Opuntia engelmannii (Engelman prickly pear) Sunset: 8,9, 12-24; USDA:  9-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows  to 8' tall. Origin: Arizona, California. Mixed clones in this lot -- much variety in this species, each hill and valley has a different form.</p>",,,outofstock,private
4414-variation-0,4414,Opuntia engelmannii,,"<p>Opuntia engelmannii (Engelman prickly pear) Sunset: 8,9, 12-24; USDA:  9-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows  to 8' tall. Origin: Arizona, California. Mixed clones in this lot -- much variety in this species, each hill and valley has a different form.</p>",(100) 5-7 inch cuttings,200.00,outofstock,private
4415,4415,Opuntia engelmannii var. texana,"Wholesale Cactus Cuttings,ALL PLANTS INDEX","<p>Opuntia engelmannii var. texana; Sunset: 8,9, 12-24; USDA: 9-10. Full  sun. Heat tolerant. Little to no water. Used for edible fruit. Hardy to  0&deg;F. Grows to 8' tall. Origin: Texas</p>",,,outofstock,private
