ID,ItemID,OptionNum,Name,Type,Attributes,Active
67,113,1,Available sizes,Drop Down,25 seeds:2.75~1 oz. (80 seeds):7.50~4 oz.:25.00~8 oz.:45.00~1 lb.:80.00,Yes
68,114,1,Available sizes,Drop Down,25 seeds:1.75~100 seeds:5.00,Yes
69,115,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:3.00~1 oz. (300 seeds):7.00~4 oz.:20.00~8 oz.:35.00~1 lb.:50.00,Yes
70,116,1,available sizes,Drop Down,25 seeds:1.75~1 oz. (approx. 180 seeds):12.00~4 oz.:35.00~8 oz.:60.00~1 lb:110.00,Yes
71,117,1,available sizes,Drop Down,25 seeds:1.50~100 seeds:3.50~1 oz.:25.00~4 oz.:65.00~8 oz.:115.00~1 lb.:195.00,Yes
72,107,1,Available sizes,Drop Down,1/10 oz.:2.50~100 seeds:1.50~4 oz.:15.00~8 oz.:20.00~1 lb.:32.00,Yes
73,108,1,Available sizes,Drop Down,1/10 oz.:2.00~1 oz.:6.00~4 oz.:17.50~8 oz.:25.00~1 lb.:37.50,Yes
74,109,1,Available sizes,Drop Down,1/10 oz:2.00~1 oz:6.00~4 oz.:12.00~8 oz.:20.00~1 lb.:35.00,Yes
75,118,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.5,Yes
76,119,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.50 ,Yes
77,120,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.00,Yes
78,121,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.00~1/10 oz. (approx. 150 seeds):4.00,Yes
79,122,1,Available sizes,Drop Down,25 seeds:2.00,Yes
80,123,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:5~1 oz.:6~4 oz.:15.00~8 oz.:22.00~1 lb.:35.00,Yes
81,124,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.50~4 oz.:17.50~8 oz.:28.00~1 lb.:42.00,Yes
82,125,1,Available sizes,Drop Down,25 seeds:1.75,Yes
83,127,1,Available sizes,Drop Down,25 seeds:1.50~1/10 oz. (450 seeds):4.00~1 oz.:12.00~4 oz.:30.00~8 oz.:50.00~1 lb.:80.00,Yes
84,128,1,Available sizes,Drop Down,25 seeds:1.35,Yes
5116,5194,1,Select size,Drop Down,100 seeds:2.00~500 seeds:6.00~1000 seeds:10.00~1 oz.:20.00,Yes
85,129,1,Sizes available,Drop Down,"25 seeds:1.50~100 seeds:3.50~500 seeds:12.00~1,000 seeds:18.00~5,000 seeds:60.00",Yes
86,130,1,Available sizes,Drop Down,100 seeds:1.50,Yes
87,131,1,Available sizes,Drop Down,25 seeds:1.50,Yes
88,132,1,Available sizes,Drop Down,1/10 oz.:2~1 oz.:6~4 oz.:15.00~8 oz.:25.00~1 lb.:40.00,Yes
89,133,1,Sizes available,Drop Down,1/10 oz.:2.50~1 oz.:12.00~4 oz.:25.00~8 oz.:35.00~1 lb.:50.00,Yes
